TYPE,CF_NAME,LEVEL,VALUE
AvgSec,__system__,L0,0
CompCount,__system__,L0,0
CompMergeCPU,__system__,L0,0
CompSec,__system__,L0,0
CompactedFiles,__system__,L0,0
KeyDrop,__system__,L0,0
KeyIn,__system__,L0,0
MovedGB,__system__,L0,0
NumFiles,__system__,L0,2
ReadGB,__system__,L0,0
ReadMBps,__system__,L0,0
RnGB,__system__,L0,0
Rnp1GB,__system__,L0,0
Score,__system__,L0,0.5
SizeBytes,__system__,L0,1896
WnewGB,__system__,L0,0
WriteAmp,__system__,L0,0
WriteGB,__system__,L0,0
WriteMBps,__system__,L0,0
AvgSec,__system__,Sum,0
CompCount,__system__,Sum,0
CompMergeCPU,__system__,Sum,0
CompSec,__system__,Sum,0
CompactedFiles,__system__,Sum,0
KeyDrop,__system__,Sum,0
KeyIn,__system__,Sum,0
MovedGB,__system__,Sum,0
NumFiles,__system__,Sum,2
ReadGB,__system__,Sum,0
ReadMBps,__system__,Sum,0
RnGB,__system__,Sum,0
Rnp1GB,__system__,Sum,0
Score,__system__,Sum,0
SizeBytes,__system__,Sum,1896
WnewGB,__system__,Sum,0
WriteAmp,__system__,Sum,0
WriteGB,__system__,Sum,0
WriteMBps,__system__,Sum,0
AvgSec,default,L0,0.680519
CompCount,default,L0,9
CompMergeCPU,default,L0,2.95701
CompSec,default,L0,6.124674
CompactedFiles,default,L0,0
KeyDrop,default,L0,0
KeyIn,default,L0,0
MovedGB,default,L0,0
NumFiles,default,L0,0
ReadGB,default,L0,0
ReadMBps,default,L0,0
RnGB,default,L0,0
Rnp1GB,default,L0,0
Score,default,L0,0
SizeBytes,default,L0,0
WnewGB,default,L0,0.145233
WriteAmp,default,L0,1
WriteGB,default,L0,0.145233
WriteMBps,default,L0,24.281831
AvgSec,default,L1,1.514119
CompCount,default,L1,5
CompMergeCPU,default,L1,5.837092
CompSec,default,L1,7.570597
CompactedFiles,default,L1,0
KeyDrop,default,L1,3062478
KeyIn,default,L1,8250422
MovedGB,default,L1,0
NumFiles,default,L1,2
ReadGB,default,L1,0.332587
ReadMBps,default,L1,44.985747
RnGB,default,L1,0.145233
Rnp1GB,default,L1,0.187354
Score,default,L1,0.163254
SizeBytes,default,L1,43823061
WnewGB,default,L1,0.040813
WriteAmp,default,L1,1.571048
WriteGB,default,L1,0.228168
WriteMBps,default,L1,30.861976
AvgSec,default,Sum,0.978234
CompCount,default,Sum,14
CompMergeCPU,default,Sum,8.794102
CompSec,default,Sum,13.695271
CompactedFiles,default,Sum,0
KeyDrop,default,Sum,3062478
KeyIn,default,Sum,8250422
MovedGB,default,Sum,0
NumFiles,default,Sum,2
ReadGB,default,Sum,0.332587
ReadMBps,default,Sum,24.867634
RnGB,default,Sum,0.145233
Rnp1GB,default,Sum,0.187354
Score,default,Sum,0
SizeBytes,default,Sum,43823061
WnewGB,default,Sum,0.186046
WriteAmp,default,Sum,2.571048
WriteGB,default,Sum,0.3734
WriteMBps,default,Sum,27.919266

