NUM_ROWS,SST_NAME,DATA_SIZE,ENTRY_MERGES,ENTRY_OTHERS,INDEX_NUMBER,COLUMN_FAMILY,ENTRY_DELETES,ENTRY_SINGLEDELETES,DISTINCT_KEYS_PREFIX
1,000057.sst,19,0,0,503,0,0,0,0
2,000057.sst,388,0,0,511,0,0,0,0
2,000057.sst,114,0,0,512,0,0,0,"0,0"
1,000057.sst,44,0,0,513,0,0,0,0
2,000057.sst,52,0,0,514,0,0,0,0
2,000057.sst,24,0,0,515,0,0,0,"10,10"
177,000057.sst,79233,0,0,517,0,0,0,180
2,000057.sst,51,0,0,518,0,0,0,0
2492,000057.sst,411659,0,0,519,0,0,0,2790
2492,000057.sst,49840,0,0,520,0,0,0,"10,2490"
2492,000057.sst,49840,0,0,521,0,0,0,"10,2610"
2492,000057.sst,52052,0,0,522,0,0,0,"1840,2480"
2492,000057.sst,49840,0,0,523,0,0,0,"50,2240"
2492,000057.sst,42364,0,0,524,0,0,0,"1270,2460"
2492,000057.sst,80137,0,0,525,0,0,0,"70,2560"
2492,000057.sst,87283,0,0,526,0,0,0,"140,2620"
2492,000057.sst,87400,0,0,527,0,0,0,"140,2480"
20044,000057.sst,936008,0,0,528,0,0,0,20700
20044,000057.sst,400880,0,0,529,0,0,0,"13960,19500"
20044,000057.sst,799275,0,0,530,0,0,0,"360,19450"
20044,000057.sst,878178,0,0,531,0,0,0,"4440,19430"
3,000057.sst,4554,0,0,532,0,0,0,0
8,000057.sst,440,0,0,534,0,0,0,"0,0,0"
1,000057.sst,78,0,0,535,0,0,0,0
1,000057.sst,22,0,0,536,0,0,0,"0,0"
172,000057.sst,247970,0,0,538,0,0,0,120
24,000057.sst,2002,0,0,539,0,0,0,"30,30"
5448,000057.sst,859289,0,0,540,0,0,0,5230
1669,000057.sst,404368,0,0,541,0,0,0,1760
1669,000057.sst,26704,0,0,542,0,0,0,"1560,1560"
1669,000057.sst,55077,0,0,543,0,0,0,"770,1630,1630"
1669,000057.sst,26704,0,0,544,0,0,0,"10,1720"
5448,000057.sst,396209,0,0,548,0,0,0,5410
1173,000057.sst,32844,0,0,549,0,0,0,"1110,1140"
28,000057.sst,4501,0,0,552,0,0,0,20
28,000057.sst,728,0,0,553,0,0,0,"0,0,0"
28,000057.sst,364,0,0,554,0,0,0,"60,60"
83,000057.sst,10920,0,0,555,0,0,0,40
83,000057.sst,1992,0,0,556,0,0,0,"90,90"
1,000057.sst,166,0,0,557,0,0,0,0
7,000057.sst,406,0,0,559,0,0,0,20
819,000057.sst,21294,0,0,560,0,0,0,"830,860"
1475,000057.sst,137625,0,0,565,0,0,0,1580
1475,000057.sst,29500,0,0,566,0,0,0,"1590,1590"
1475,000057.sst,32450,0,0,567,0,0,0,"10,1720"
12,000057.sst,7728,0,0,574,0,0,0,30
16,000057.sst,7776,0,0,577,0,0,0,10
192,000057.sst,40512,0,0,578,0,0,0,270
148,000057.sst,30784,0,0,579,0,0,0,140
456,000057.sst,9120,0,0,580,0,0,0,500
2090,000057.sst,4062487,0,0,581,0,0,0,2020
1,000057.sst,1280,0,0,586,0,0,0,0
15,000057.sst,9660,0,0,598,0,0,0,30
20,000057.sst,9720,0,0,601,0,0,0,30
