ENGINE,DATA_FREE,VERSION,CHECK_TIME,TABLE_ROWS,TABLE_TYPE,CHECKSUM,CREATE_TIME,DATA_LENGTH,UPDATE_TIME,TEMPORARY,INDEX_LENGTH,TABLE_SCHEMA,ROW_FORMAT,TABLE_NAME,TABLE_CATALOG,TABLE_COMMENT,CREATE_OPTIONS,MAX_DATA_LENGTH,TABLE_COLLATION,MAX_INDEX_LENGTH,AUTO_INCREMENT,AVG_ROW_LENGTH
Aria,0,11,NULL,NULL,SYSTEM VIEW,NULL,2025-06-11 04:32:59,8192,2025-06-11 04:32:59,Y,8192,information_schema,Page,ALL_PLUGINS,def,<blank>,max_rows=906366 transactional=0,1610612736,utf8mb3_general_ci,137438945280,NULL,0
MEMORY,0,11,NULL,NULL,SYSTEM VIEW,NULL,2025-06-11 04:32:59,0,NULL,Y,0,information_schema,Fixed,APPLICABLE_ROLES,def,<blank>,max_rows=85762,133960870,utf8mb3_general_ci,0,NULL,1565
MEMORY,0,11,NULL,NULL,SYSTEM VIEW,NULL,2025-06-11 04:32:59,0,NULL,Y,0,information_schema,Fixed,CHARACTER_SETS,def,<blank>,max_rows=279620,132017280,utf8mb3_general_ci,0,NULL,480
Aria,0,11,NULL,NULL,SYSTEM VIEW,NULL,2025-06-11 04:32:59,8192,2025-06-11 04:32:59,Y,8192,information_schema,Page,CHECK_CONSTRAINTS,def,<blank>,max_rows=749819 transactional=0,1610612736,utf8mb3_general_ci,137438945280,NULL,0
MEMORY,0,11,NULL,NULL,SYSTEM VIEW,NULL,2025-06-11 04:32:59,0,NULL,Y,0,information_schema,Fixed,COLLATIONS,def,<blank>,max_rows=409200,131021896,utf8mb3_general_ci,0,NULL,328
MEMORY,0,11,NULL,NULL,SYSTEM VIEW,NULL,2025-06-11 04:32:59,0,NULL,Y,0,information_schema,Fixed,COLLATION_CHARACTER_SET_APPLICABILITY,def,<blank>,max_rows=267365,133685110,utf8mb3_general_ci,0,NULL,502
Aria,0,11,NULL,NULL,SYSTEM VIEW,NULL,2025-06-11 04:32:59,8192,2025-06-11 04:32:59,Y,8192,information_schema,Page,COLUMNS,def,<blank>,max_rows=256426 transactional=0,1610612736,utf8mb3_general_ci,137438945280,NULL,0
MEMORY,0,11,NULL,NULL,SYSTEM VIEW,NULL,2025-06-11 04:32:59,0,NULL,Y,0,information_schema,Fixed,COLUMN_PRIVILEGES,def,<blank>,max_rows=38590,134139504,utf8mb3_general_ci,0,NULL,3478
MEMORY,0,11,NULL,NULL,SYSTEM VIEW,NULL,2025-06-11 04:32:59,0,NULL,Y,0,information_schema,Fixed,ENABLED_ROLES,def,<blank>,max_rows=345921,132848096,utf8mb3_general_ci,0,NULL,388
MEMORY,0,11,NULL,NULL,SYSTEM VIEW,NULL,2025-06-11 04:32:59,0,NULL,Y,0,information_schema,Fixed,ENGINES,def,<blank>,max_rows=183357,133488252,utf8mb3_general_ci,0,NULL,732
