id,isi,link,judul,images,tanggal
6,"Masalah kebersihan lingkungan sekolah merupakan tanggung jawab semua warga sekolah. Salah satu cara yang bisa dilakukan yaitu dengan tidak membuang sampah sembarangan dan mengurangi penggunaan sampah plastik. Hal ini disampaikan oleh Sang Ayu Made Rasmini, S.Pd.,M.Ag ketika memberikan sambutan sebagai pembina upacara pada Senin (11/9) pagi tadi.\r\n\r\nLebih lanjut Sang Ayu Made Rasmini menyampaikan bahwa pemerintah daerah sudah mengeluarkan Pergub Bali No 97 tahun 2018 tentang pembatasan timbulan sampah plastik sekali pakai. Dengan adanya payung hukum ini maka warga sekolah diharapkan ikut meyukseskan program pemerintah dengan jalan menggunakan tumbler sebagai pengganti plastik botol minuman. Sebagai wujud komitmen, pada kesempatan ini dirinya pun menyerahkan tumbler kepada anak-anak sebagai simbol gerakan bersama.\r\n\r\nDi samping untuk menjaga lingkungan, dikatakannya bahwa penggunaan tumbler juga dapat membiasakan kita untuk berhemat. Dengan demikian, diperlukan komitmen bersama seluruh warga sekolah untuk mau memulai dengan aksi nyata mengingat hal ini juga sejalan dengan visi sekolah khususnya pada aspek berwawasan lingkungan.\r\n\r\nDalam kegiatan upacara juga dilangsungkan pemberian apresiasi kepada siswa yang berhasil meraih juara dalam kejuaraan nasional Pencak Silat Kemenpora Malang di GOR Graha Politeknik Negeri Malang diantaranya peraih emas atas nama I Made Angga Ofta Pariwidana, I Gusti Ketut Swardika, Gede Kosta Klasika. Peraih perak atas nama Kadek Selli Fidayani, Mutiara Hati Agripina, peraih perunggu atas nama Gede Bhoppi Putra Meteor. (hms/mus)",https://www.instagram.com/p/CxEWbyWS8KQ/?igshid=MzRlODBiNWFlZA==,Warga Sekolah Diminta Berperan Aktif Dalam Menjaga Lingkungan,75e388ac901954cae0fba67fe65fbbcc.jpg,2023-09-11
7,"Dalam rangka mengembangkan kreativitas seni, Tim Kesenian SMA Negeri 1 Seririt ikut berpartisipasi dalam memeriahkan kegiatan Apresiasi Kesenian Seririt Raya (AKSARA) 2023 yang digelar di Lapangan Umum Seririt pada Kamis (21/9) kemarin.\r\n\r\nTim Kesenian SMA Negeri 1 Seririt yang dikoordinatori oleh Ketut Sukariani, S.Pd., I Putu Eka Julyana Putra, S.Sn., dan Anak Agung Ngurah Anditya Putra, S.Pd menampilkan beberapa kesenian dalam acara gong kebyar mabarung seperti Tabuh Telu, Tari Prabawaning Saba, dan Tari Palawakia. Tim kesenian khususnya siswa yang tergabung dalam esktrakurikuler tari dan tabuh berhasil membawakan penampilan dengan apik sehingga mampu menghibur penonton. \r\n\r\nI Putu Eka Julyana Putra, S.Sn yang juga selaku guru Seni Budaya dan pembina tabuh di SMAN 1 Seririt mengatakan bahwa selama ini anak-anak Smanser sangat bersemangat dalam berkreativitas seni. Dengan modal semangat dan dukungan dari lembaga pihaknya pun berusaha menampilkan yang terbaik. Hal yang sama juga ditegaskan oleh Ketut Sukariani, S.Pd bahwa dirinya bersyukur salah satu garapan yaitu Tari Prabawaning Saba yang menjadi maskot Kecamatan Seririt bisa ditampilkan dalam pentas kali ini \r\n\r\nKepala SMA Negeri 1 Seririt Ngurah Putu Wiswayana, S,Pd.,M.Pd selaku penanggung jawab mengatakan bahwa sekolah pada prinsipnya berusaha memfasilitasi minat dan bakat anak-anak yang selama ini dilakukan dalam bentuk ekstrakurikuler. Hal ini juga sesuai dengan misi sekolah yang salah satunya adalah mengembangkan dan melestarikan budaya lokal khususnya seni tabuh dan tari Bali. “kami sangat bersyukur dan mengapresiasi tim kesenian Smanser yang sudah bisa tampil membawa nama sekolah. Harapan kami semoga anak-anak bisa terus berkreativitas dalam bidang seni” ungkapnya.(hms/mus)",https://www.instagram.com/p/CxhUEaBL6mc/?utm_source=ig_web_copy_link&igshid=MzRlODBiNWFlZA==,"Kembangkan Kreativitas Seni, Tim Kesenian Smanser Meriahkan Pagelaran Aksara 2023",d78ad01ed340353047418a7e84f2a943.jpg,2023-09-21
8,"Dalam rangka meningkatkan sradha bakti dan mengembangkan kreativitas seni, Tim  Kesenian Smanser ngaturang ayah ke Pura Melanting dan Pulaki serangkaian acara Nyineb Pujawali Purnama Kapat pada Jumat (6/10) kemarin. Pada kesempatan ini Tim Kesenian Smanser menampilkan Tari Prabawaning Saba, Tari Palawakia, Tari Topeng, dan Tari Rejang yang dibawakan oleh para guru Smanser. \r\n\r\nKoordinator Tim Ketut Sukariani, S.Pd didampingi  I Putu Eka Julyana Putra, S.Sn mengatakan bahwa kegiatan ini terlaksana karena keinginan yang kuat dan semangat dari anak-anak khususnya ekstrakurikuler Tari dan Tabuh agar bisa ngaturang ayah. Kegiatan seperti ini juga sudah beberapa kali dilaksanakan sejak dulu. “Ya ini terlaksana karena semangat anak-anak dan guru Smanser serta  dukungan dari lembaga” ungkapnya.\r\n\r\nSementara itu, Kepala SMA Negeri 1 Seririt Ngurah Putu Wiswayana,S.Pd.,M.Pd mengatakan bahwa pihaknya menyambut positif keinginan dari warga sekolah untuk ngaturang ayah dengan menampilkan seni keagamaan seperti tari dan tabuh. Pertama, hal ini sesuai dengan misi sekolah yang salah satunya fokus pada pengembangan seni budaya seperti tari dan tabuh. Kedua, kegiatan seperti ini juga sejalan dengan tujuan pemerintah untuk mewujudkan Profil Pelajar Pancasila yaitu bertakwa kepada Tuhan Yang Maha Esa  dan berakhlak mulia yang dilakukan melalui pengembangan minat dan bakat. (hms)",https://www.instagram.com/p/CyIV1wjr7wT/?utm_source=ig_web_copy_link&igshid=MzRlODBiNWFlZA==,??? ???????? ??????? ?????? ??????????? ???????? ??????? ????? ?? ???? ??????,50b69275f3013e0185ca0ac5679aeca6.jpg,2023-10-06
9,"SERIRIT - SMA Negeri 1 Seririt merayakan Bulan Bahasa Tahun 2023 dengan fokus pada peningkatan literasi. Kegiatan perayaan diawali dengan upacara pembukaan yang dilaksanakan pada Senin (9/10) pagi tadi yang ditandai dengan pemukulan gong dibarengi pelepasan balon. \r\n\r\nKetua panitia Ni Nengah Tirta, S.Pd mengatakan bahwa kegiatan perayaan Bulan Bahasa tahun 2023 mengambil tema yaitu “Literasi dalam Kebhinekaan untuk Kemajuan Bangsa”. Tema peringatan Bulan Bahasa ini sesuai dengan program kerja bidang kurikulum yaitu peningkatan budaya literasi di lingkungan sekolah salah satunya melalui Gerakan Literasi Sekolah (GLS) dan peringatan Bulan Bahasa. Sebagai generasi bangsa sudah sepantasnya kita memelihara dan mempertahankan bahasa Indonesia dengan menggunakan sehari-hari secara baik dan benar.\r\n\r\nSelama pelaksanaan, kegiatan diisi dengan berbagai lomba seperti lomba mading, musikalisasi puisi, drama, mendongeng, poster online, stand up komedy, dan essay. Lomba diikuti oleh seluruh siswa dan dilaksanakan secara luring dan daring. “Saya berharap kerjasama dan dukungan seluruh warga sekolah agar kegiatan dapat berjalan dengan lancar” harapnya. \r\n\r\nSementara itu, Kepala SMA Negeri 1 Seririt Ngurah Putu Wiswayana, S.Pd., M.Pd dalam sambutannya ketika upacara pembukaan mengatakan bahwa bahasa sejatinya seperti pisau bermata dua. Ketika digunakan dengan tidak baik maka akan bisa memicu pertikaian, perundungan dan lain-lain. Untuk itu, melalui momentum Bulan Bahasa ini pihaknya mengajak seluruh warga sekolah untuk menggunakan bahasa Indonesia dengan baik dan benar sesuai dengan konteksnya. Di samping itu, warga sekolah juga diharapkan terus meningkatkan kemampuan literasinya sesuai program sekolah. (hms/mus)",https://www.instagram.com/p/CyKarQ5LmdA/?utm_source=ig_web_copy_link&igshid=MzRlODBiNWFlZA==,"??????? ????? ??????, ??????? ????? ?????????? ???????? ??????? ???????? ?????",036620f591b830ccb47a5ccfbafdc744.jpg,2023-10-09
10,"Pada hari ini Sabtu 21 Oktober2023, Keluarga Besar SMA Negeri 1 Seririt melaksanakan persembahyangan bersama Rahina Tumpek Uye. Kegiatan persembahyangan dimulai pukul 07.30 Wita diikuti oleh para guru, pegawai, OSIS, dan perwakilan siswa kelas X. Selain persembahyangan bersama, juga dilakukan pemberian pakan pada binatang yang ada di sekolah yaitu berupa ikan. Hal ini sebagai wujud harmonisasi warga sekolah dengan lingkungan. \r\n\r\nRahina Tumpek Uye atau dikenal juga dengan Tumpek Kandang merupakan wujud rasa kasih sayang serta ungkapan terima kasih manusia kepada binatang perliharaan atau ternak . Pada hari ini umat menghaturkan persembahan kepada Sang Hyang Rare Angon sebagai penguasa dan penjaga semua binatang.  Manusia juga diharapkan melakukan penyucian diri untuk nyomia atau menetralisir kekuatan binatang yang ada dalam diri. (hms)",https://www.instagram.com/p/Cyp-I7Fr3e-/?utm_source=ig_web_copy_link&igshid=MzRlODBiNWFlZA==,??????????????? ??????? ?????? ?????? ???/?????? ???????,b9a9a93fcf10f7085a8f59423c70944e.jpg,2023-10-21
11,"Setelah berjalan selama seminggu, kegiatan Bulan Bahasa di SMA Negeri 1 Seririt resmi ditutup. Kegiatan penutupan dilaksanakan di aula pada Jumat (27/10) pagi tadi. Acara berlangsung dengan meriah disi dengan penyerahan piala, penampilan juara masing-masing lomba, dan acara hiburan lainnya.\r\n\r\nKetua panitia Ni Nengah Tirta, S.Pd dalam laporannya mengatakan bahwa selama seminggu kegiatan sudah berjalan dengan lancar seperti lomba mading, musikalisasi puisi, drama, mendongeng, poster online, stand up komedy, dan essay. Kegiatan Bulan Bahasa baginya sukses menggali kreativitas siswa dengan munculnya siswa berbakat pada masing-masing lomba. Dirinya berharap melalui kegiatan Bulan Bahasa kreativitas dan literasi siswa dapat terus ditingkatkan. \r\n\r\nSelaku panitia, dirinya mengucapkan terima kasih kepada pimpinan dan semua warga sekolah yang telah menyukseskan pelaksanaan Bulan Bahasa pada tahun ini. Selama pelaksanaan diakuinya masih ada hal-hal yang harus diperbaiki pada tahun berikutnya, baik menyangkut teknis pelaksanaan maupun berkaitan dengan partisipasi siswa. “Terima kasih saya ucapkan kepada bapak kepala sekolah, staf pimpinan, dan semua warga sekolah atas dukungannya sehingga acara bisa berjalan dengan baik. Kegiatan ini tetap dievaluasi untuk perbaikan di tahun berikutnya"" ungkapnya. \r\n\r\nSementara itu, Kepala SMA Negeri 1 Seririt Ngurah Putu Wiswayana, S.Pd., M.Pd dalam sambutannya ketika acara penutupan mengatakan bahwa kegiatan Bulan Bahasa dilaksanakan sejalan dengan visi sekolah yaitu “Cerdas Kompetitif dan Berwawasan Lingkungan”. Melalui Bulan Bahasa siswa dapat melatih kecerdasan linguistik di samping kecerdasan lain yang terkait. Selain itu, kegiatan ini juga dapat melatih budaya kompetitif siswa sejak dini untuk mempersiapkan diri meraih cita-citanya dengan tetap berpegang pada nilai-nilai kearifan lokal. Pihaknya menekankan, visi sekolah harus dipahami dan diwujudkan oleh semua warga sekolah. (hms/mus)",https://www.instagram.com/p/Cy-trqhLrxx/?utm_source=ig_web_copy_link&igshid=MzRlODBiNWFlZA==,"????? ???????, ????? ?????? ?????? ?????????? ??????? ??? ??????????? ?????",d6dc47de8f0918e217b8e48b97a10a13.jpg,2023-10-27
12,"SERIRIT - Dalam rangka memperingati Hari Sumpah Pemuda ke-95 Tahun 2023, SMA Negeri 1 Seririt melaksanakan giat bakti sosial dengan menyasar warga dan siswa kurang mampu. Kegiatan dilaksanakan selama dua hari yaitu tanggal 27 & 28 dengan memberikan puluhan paket sembako menyasar warga dan siswa di Kelurahan Seririt, Desa Lokapaksa, Pengastulan, dan Banjarasem. \r\n\r\nKoordinator teknis kegiatan Kadek Tuti Andayani, S.Pd mengatakan paket sembako yang diberikan berasal dari bantuan warga sekolah. Dengan melibatkan OSIS, tim Smanser datang langsung ke rumah warga dan ada juga yang penyerahannya dilakukan di sekolah. Dari beberapa warga sasaran yang didatangi, dikatakannya semua antusias menerima paket sembako yang diberikan. \r\n\r\nSalah satu penerima bantuan asal Desa Banjarasem I Gusti Ketut Swardika siswa kelas XI.1 yang menerima paket sembako setelah upacara peringatan HSP pada pagi tadi mengatakan sangat senang mendapatkan perhatian dari sekolah. Baginya paket sembako tersebut akan sangat membantu dirinya dan keluarganya. Dirinya berharap agar program seperti ini terus dilakukan oleh sekolah sehingga bisa menambah semangat bagi yang membutuhkan. \r\n\r\nSementara itu, Kepala SMA Negeri 1 Seririt Ngurah Putu Wiswayana, S.Pd.,M.Pd ketika dimitai tanggapannya mengatakan bahwa kegiatan ini sengaja melibatkan siswa dengan tujuan untuk memberikan pengalaman langsung kepada siswa megenai wujud saling berbagi. Melalui kegiatan ini diharapkan dapat meningkatkan kepekaan sosial siswa untuk melatih kecerdasan emosional siswa. “Kegiatan seperti ini sangat kami dukung karena tentunya sesuai dengan visi sekolah kita yaitu dalam aspek cerdas khususnya melatih kecerdasan emosional"", ungkapnya. (hms/mus)",https://www.instagram.com/p/Cy76e7ULd3H/?utm_source=ig_web_copy_link&igshid=MzRlODBiNWFlZA==,"????????? ???? ?????? ??????, ??????? ?????????? ????? ??????",c89d05dc306976b6337e729193002ad8.jpg,2023-10-29
13,"SMA Negeri 1 Seririt melaksanakan kegiatan upacara bendera peringatan Hari Sumpah Pemuda (HSP) ke-95 Tahun 2023 pada Sabtu (28/10) pagi tadi. Upacara diikuti oleh seluruh warga sekolah mulai dari guru, pegawai, dan seluruh siswa dengan menggunakan pakaian adat tradisional. Bertindak sebagai Pembina upacara yaitu Anak Agung Ngurah Anditya Putra, S.Pd, selaku guru BK. \r\n\r\nSelain melakukan upacara bendera  sesuai surat Menteri Pemuda dan Olahraga RI Nomor PP.00/10.19.1/MENPORA/X/2023 mengenai Peringatan Hari Sumpah Pemuda ke 95 tahun 2023, peringatan Sumpah Pemuda di Smanser juga dilakukan dengan kegiatan bakti sosial pemberian paket sembako yang melibatkan guru dan siswa menyasar warga dan siswa kurang mampu. \r\n\r\nMelalui chanel podcast Smanser, warga sekolah juga diajak memaknai Hari Sumpah Pemuda dengan menonton tayangan video yang bertajuk “makna berjuang tuk generasi muda”. Melalui peringatan ini pesan untuk generasi muda adalah agar selalu semangat untuk memajukan Indonesia.",https://www.instagram.com/p/Cy-trqhLrxx/?utm_source=ig_web_copy_link&igshid=MzRlODBiNWFlZA==,??????? ?????????? ???? ?????? ?????? (???) ?? ?? ????? ????,73746ce2b0748d9691c08cc5b705610b.jpg,2023-10-28
14,"SERIRIT - SMA Negeri 1 Seririt berhasil meraih penghargaan sebagai sekolah moderasi dalam acara Festival Moderasi Beragama Bali Utara yang diselenggarakan oleh Kampus STAHN Mpu Kuturan Singaraja. Penghargaan yang diraih bersama dua sekolah lainnya yaitu SMKN 1 Singaraja dan SMKN 3 Singaraja diterima langsung oleh kepala sekolah pada Sabtu (28/10) siang.  \r\n\r\nKegiatan yang dikemas dalam Dialog Moderasi Beragama tersebut dihadiri oleh  Koordinator Staf Khusus Presiden Dr. AAGN Ari Dwipayana, M.Si., Menteri Agama Periode 2014-2019 Dr. (HC) KH. Lukman Hakim Saifuddin dan Dirjen Bimas Hindu Prof. Dr. I Nengah Duija, M.Si. \r\n\r\nKomang Agus Widiantara, S.Sos.H.,M.I.Kom selaku Pimpinan Projek Moderasi Beragama STAHN Mpu Kuturan Singaraja mengatakan bahwa penghargaan diberikan sebagai bentuk apresiasi kepada sekolah-sekolah yang telah menegakkan nilai-nilai multikulturalisme, toleransi, dan saling menghargai perbedaan. Sekolah yang mendapatkan penghargaan sebelumnya telah diseleksi dan dilakukan kerja sama komitmen dalam melaksanakan program moderasi beragama. \r\n\r\nAtas raihan ini, Kepala SMA Negeri 1 Seririt Ngurah Putu Wiswayana, S.Pd.,M.Pd mengatakan mewakili lembaga dirinya menyampaikan rasa terima kasih kepada pihak kampus yang  telah mengapresiasi komitmen dan program sekolah. Selama ini sekolah selalu berusaha menjaga toleransi di tengah keberagaman yang ada. Dilihat dari Rapor Pendidikan memang iklim kebinekaan di sekolah untuk tahun ini meningkat. Sekolah selama ini juga menghormati dan menghargai dengan memberikan ruang yang adil bagi semua warga sekolah untuk melaksanakan ajaran agamanya. “Penghargaan ini tentu jadi motivasi bagi kami untuk terus mengembangkan layanan dalam mendukung program moderasi beragama” ungkapnya. (hms/mus)",https://www.instagram.com/p/CzAzahEL_09/?utm_source=ig_web_copy_link&igshid=MzRlODBiNWFlZA==,"???????? ???? ??????????, ??????? ???? ??????????? ??????? ???????? ???????? ",c3e0e5bb06c7e603a12b76c1c16695ec.jpg,2023-10-30
19,"Dalam rangka mengoptimallkan upaya pencegahan dan penanganan kekerasan di lingkungan sekolah, SMA Negeri 1 Seririt melaksanakan pelatihan dengan menyasar seluruh guru. Kegiatan pelatihan dilakukan dengan menghadirkan narasumber dari Prodi Bimbingan dan Konseling Undiksha Dewi Arum Widhiyanti Metra Putri, S.Psi., M.A.,M.Psi., Psikolog. Kegiatan berlangsung di RKG setelah peringatan Hari Pahlawan pada Jumat (10/11) kemarin.\r\n\r\nKepala SMA Negeri 1 Seririt Ngurah Putu Wiswayana, S.Pd., M.Pd dalam pengantarnya mengatakan bahwa kegiatan ini dilaksanakan karena mengacu dari hasil Rapor Pendidikan. Di samping itu, pemerintah juga sangat serius dalam isu pencegahan dan penanganan kekerasan sehingga di setiap satuan pendidikan diwajibkan untuk membentuk Tim Pencegahan dan Penanganan Kekerasan (TPPK). Sejauh ini, SMAN 1 Seririt sudah membentuk tim tersebut yang diketuai oleh salah seorang guru. Tim ini juga dituntut untuk melaporkan program yang dilaksanakan secara berkala kepada pemerintah melalui dinas pendidikan.\r\n\r\nSementara itu, narasumber Dewi Arum Widhiyanti Metra Putri, S.Psi., M.A.,M.Psi., Psikolog dalam paparannhya mengatakan bahwa kekerasan merupakan tindakan yang berupa paksaan dari satu pihak kepada pihak lain, baik yang dilakukan secara verbal, fisik, nonfisik maupun lewat cyber. Ada banyak jenis dan bentuk kekerasan seksual yang selama ini juga belum diketahui oleh masyarakat. Pihaknya menekankan sangat pentingnya membangun awareness di lingkungan sekolah sehingga seluruh warga sekolah tanggap terhadap perilaku kekerasan, baik berupa kekerasan seksual maupun perundungan (bullying).",https://www.instagram.com/p/CznB1iMvCvw/?utm_source=ig_web_copy_link&igshid=MzRlODBiNWFlZA==,"?????????? ?????????? ??? ?????????? ?????????, ??????? ??????? ???????? ????????",8dd864bda172202327bcc1c80a2b6542.jpg,2023-11-15
