id,isi,link,judul,images,tanggal
2,"Tim Rugby Smanser diperkuat oleh Putu Dicky Sastrawan, I Putu Gandhi Jayamika Raditya, Bayu Indria Saputra, dan Putu Jaka Mulya Prasatya.\r\n\r\nAtas prestasi yang diraih, Kepala SMAN 1 Seririt Ngurah Putu Wiswayana, S.Pd., M.Pd menyampaikan penghargaan dan apresiasi yang tinggi kepada siswa dan juga pembina yang telah membina dengan baik sehingga anak-anak mampu meraih prestasi. (hms)",https://www.instagram.com/p/CwwrXPar7rk/?igshid=MzRlODBiNWFlZA==,Siswa Smanser Raih Juara III Rugby Pada Buleleng Rugby Tournament,70bd618f3dad644cdced1037b20d57e6.jpg,2023-09-04
3,"Tim Pencak Silat SMAN 1 Seririt yang diperkuat oleh Made Angga Ofta Pariwidana, I Gusti Ketut Swardika, Gede Kosta Klasika, Kadek Selli Fidayanni, Mutiara Hati Anggripina, dan Gede Bhoppi Putra Metior berhasil meraih 3 emas 2 perak dan 1 perunggu dalam Kejuaraan Nasional Pencak Silat Kemenpora Malang 3 yang dilaksanakan di GOR Graha Politeknik Negeri Malang pada tanggal 3 September 2023. \r\n\r\nAtas prestasi yang diraih, sekolah menyampaikan penghargaan dan apresiasi yang tinggi kepada seluruh atlet yang bertanding dan juga disampaikan kepada pembina Made Putra Arsana yang telah membina dengan baik sehingga siswa mampu meraih prestasi. Semoga prestasi yang diraih dapat terus ditingkatkan.",https://www.instagram.com/p/CxDC6FcLp_x/?igshid=MzRlODBiNWFlZA==,Tim Pencak Silat Smanser Raih Emas Di Tingkat Nasional,601ab4405e4189101fcd5bb86c2fba08.jpg,2023-09-11
4,"Dengan semangat dan jiwa kompetitif yang tinggi, Tim Basket Smanser yang diperkuat oleh Putu Dylan Vedatama, Putu Dey Akka, Kadek Aprilio Satya Mahendra, dan Ricko Dika Oktaviano akhirnya berhasil meraih juara 2 dalam ajang Bola Basket Buleleng Space Tourney tahun 2023 yang dilaksanakan tanggal 22 s.d 24 September 2023 di GOR Bhuana Patra Singaraja. \r\n\r\nDitemui setelah lomba, ketua ekstrakurikuler basket putra Smanser  Putu Dylan Vedatama mengatakan sangat senang dirinya bersama tim akhirnya berhasil meraih juara 2. Hal ini bisa diraih tentunya berkat semangat dan persiapan yang lebih. Selama ini kegiatan ekstra berlangsung setiap hari Jumat yang juga digunakan waktu untuk persiapan lomba. Sementara itu, pembina ekstrakurikuler basket Putu Agus Suar Ekkar Yasa, S.Pd mengatakan dirinya sangat bersyukur anak asuhnya bisa meraih juara. Dari 11 tim yang ikut akhirnya Smanser bisa meraih juara 2. \r\n\r\nAtas prestasi yang diraih, Kepala SMA Negeri 1 Seririt Ngurah Putu Wiswayana, S.Pd., M.Pd menyampaikan selamat dan apresiasi kepada seluruh tim karena telah berjuang mengharumkan nama sekolah. Dirinya berharap semoga prestasi yang diraih bisa ditingkatkan dan hal ini menjadi contoh bagi siswa yang lain. ""Kita harapkan semangat juang dan jiwa kompetitif anak-anak ini bisa diteladani oleh siswa yang lain sehingga bisa yang lain juga bisa berprestasi"", terangnya. ",https://www.instagram.com/p/Cxr5N8vLeBl/?utm_source=ig_web_copy_link&igshid=MzRlODBiNWFlZA==,??????? ?????? ????? ???? ?????? ???????? ????? ???????,7abdf196d4bdedab0e828010e4cb23a7.jpg,2023-09-25
5,"Siswa SMA Negeri 1 Seririt kembali menorehkan prestasinya dalam bidang nonakademik. Kali ini siswa atas nama Ni Nyoman Radin Listuayu berhasi meraih juara 3 dalam ajang Poetry Reading tingkat SMA/SMK se-Bali di FBS Undiksha pada tanggal 9 Oktober 2023. Di ajang yang berbeda, dua siswa atas nama Putu Pranita Triana Putri dan Kadek Fani Septiani berhasil meraih Juara Harapan 2 dan Harapan 3 dalam Speech Contest yang dilaksanakan pada tanggal 22 September 2023 di Kampus Marcopolo Singaraja. \r\n\r\nAtas prestasi yang diraih, Ni Nyoman Radin Listuayu saat ditemui di sekolah mengatakan sangat bersyukur bisa meraih juara 3 setelah sebelumnya dirinya juga pernah meraih juara 1 dalam Story Telling Competition yang diadakan oleh STAHN Mpu Kuturan Singaraja. Setiap mengikuti lomba dirinya selalu mempersiapkan diri dengan baik dengan harapan dapat menampilkan yang terbaik.Raihan ini baginya juga berkat binaan dari para pembina di sekolah. \r\n\r\nPembina Ni Wayan Budiari, S.Pd mengatakan bahwa kesuksesan anak didiknya meraih beberapa prestasi tidak lepas karena semangat dan kerja keras siswa tersebut. Sebagai pembina dirinya hanya bisa mengarahkan dan memberikan motivasi agar siswa mau mempersiapkan diri dengan baik. \r\n\r\nAtas prestasi yang diraih, Kepala SMA Negeri 1 Seririt Ngurah Putu Wiswayana, S.Pd.,MPd menyampaikan apresiasinya kepada siswa dan pembina yang telah mengharumkan nama lembaga. Pihaknya berharap prestasi ini bisa terus ditingkatkan dan diikuti oleh bidang yang lain. Lembaga tetap mendorong dan memfasilitasi anak-anak untuk mengembangkan minat dan bakatnya.",https://www.instagram.com/p/Cyf9u-3r_AF/?utm_source=ig_web_copy_link&igshid=MzRlODBiNWFlZA==,????? ???????? ???? ????? ? ?????? ??????? ??????? ???/??? ??-????,bdd2bbe40b6173f298bbbb89329a407b.jpg,2023-10-18
6,"Siswa SMA Negeri 1 Seririt kembali  meraih prestasi di bidang olahraga. Siswa atas nama I Gusti Bagus Angga Prasetia berhasil meraih Juara 3 single dan juara 2 ganda putra dalam kejuaraan Bupati Tuban Cup Open 2023 pada tanggal 26 s.d 30 September 2023. \r\n\r\nAtas prestasi yang diraih I Gusti Bagus Angga Prasetia mengatakan  bahwa prestasi ini sangat berarti baginya. Baginya mengikuti Lomba di luar daerah merupakan suatu tantangan tersendiri sekaligus memotivasi agar bisa berprestasi. Selama persiapan, dirinya dilatih oleh I Gusti Bagus Suarjana yang merupakan orang tuanya sendiri sekaligus sebagai Pembina ekstrakurikuler bulu tangkis di SMA Negeri 1 Seririt. \r\n\r\nKepala SMA Negeri 1 Seririt Ngurah Putu Wiswayana, S.Pd., M.Pd  ketika dimintai tanggapan atas raihan ini menyampaikan apresiasi dan rasa terima kasih kepada siswa maupun pembina atas prestasinya yang sudah mengharumkan nama sekolah. Bidang olahraga memang menjadi salah satu bidang unggulan di Smanser. Beberapa kali siswa Smanser berhasil meraih juara pencak silat dan cabang lainnya sampai ke tingkat nasional bahkan regional seperti pada cabang panahan.",https://www.instagram.com/p/CyiQZ0yLxal/?utm_source=ig_web_copy_link&igshid=MzRlODBiNWFlZA==,? ????? ????? ????? ???????? ???????? ??????? ????? ?????? ????? ??? ???? ????,b5c7c84b86c1d7254a559368ca25495f.jpg,2023-10-18
8,"Setelah sebelumnya sukses meraih juara 1 Lomba Baca Puisi se-Bali dalam ajang Singaraja Literary Festival, kali ini Desak Putu Ayu Dina Candradewi kembali mengharumkan nama sekolah dengan meraih juara 2 Lomba Cipta dan Baca Puisi dalam ajang Festival Bahasa dan Sastra (FESTRA) yang dilaksanakan oleh Fakultas Bahasa dan Seni Undiksha pada tanggal 11 Oktober 2023. \r\n\r\nDitemui di sekolah, Desak kembali mengucap syukur atas prestasi yang telah diraihnya. Dirinya kali ini bersaing dengan 40 peserta se-Bali dan akhirnya berhasil meraih juara 2. Meskipun belum bisa menjadi yang terbaik tetapi baginya prestasi ini menjadi motivasi untuk terus bisa berprestasi. Kali ini Desak juga dibina oleh I Gusti Ayu Putu Pradnyani, S.Pd selaku guru mata pelajaran Bahasa Indonesia di sekolah. “Saya bersyukur bisa bersaing dengan 40 peserta dan meraih juara 2. Ini juga berkat doa orang tua, teman-teman dan pembina di sekolah” ungkap Desak. \r\n\r\nAtas prestasi yang diraih, Kepala SMAN 1 Seririt Ngurah Putu Wiswayana, S.Pd., M.Pd menyampaikan selamat dan apresiasi kepada siswa dan pembina yang telah mengharumkan nama sekolah. Prestasi yang diraih tentu akan menjadi motivasi bagi siswa yang lain. Pihaknya juga terus mengoptimalkan kegiatan pengembangan minat bakat seluruh siswa melalui kegiatan ekstrakurikuler yang telah berjalan di sekolah (hms).",<blank>,????? ?????????? ??????? ???? ???????? ????? ????? ????? ??? ???? ????? ??-????,d9add0b3be53a51209fb21f1fc689266.jpg,2023-10-25
9,"Setelah sukses di kejuaraan Bupati Tuban Cup kali ini  siswa atas nama I Gusti Bagus Angga Prasetia kembali mengukir prestasi dalam bidang bulutangkis. Kali ini dirinya berhasil meraih Juara 1 Single Remaja Putra dalam Kejuaraan STIKOM Badminton Cup IX 2023. \r\n\r\nAtas prestasi yang diraih I Gusti Bagus Angga Prasetia mengatakan  sangat bersyukur bisa kembali meraih prestasi.  Selama persiapan, dirinya kembali dilatih oleh I Gusti Bagus Suarjana yang merupakan orang tuanya sendiri sekaligus sebagai Pembina ekstrakurikuler bulutangkis di SMA Negeri 1 Seririt. Dengan latihan yang keras akhirnya dirinya kembali bisa meraih juara. “Bersyukur bisa kembali dapat juara dan kali ini bisa juara 1, terima kasih kepada orang tua dan sekolah juga” ungkap Angga.\r\n\r\nKepala SMA Negeri 1 Seririt Ngurah Putu Wiswayana, S.Pd., M.Pd  ketika dimintai tanggapan atas raihan ini menyampaikan apresiasi dan rasa terima kasih kepada siswa maupun pembina atas prestasinya yang sudah mengharumkan nama sekolah. Bidang olahraga memang menjadi salah satu bidang unggulan di Smanser seperti pencak silat dan bidang lainnya. Harapannya, siswa tetap semangat mengembangkan minat dan bakatnya di bawah asuhan Pembina. (hms)",https://www.instagram.com/p/CzGSc3Or9Pc/?utm_source=ig_web_copy_link&igshid=MzRlODBiNWFlZA==,????? ???????? ???? ????? ? ????????? ?????? ????????? ??? ????,094402ab91be0ffe1530bf31dcfdd6d0.jpg,2023-10-31
10,"Setelah beberapa kali meraih juara di daerah kali ini siswa atas nama Ni Nyoman Radin Listuhayu berhasil meraih  juara favorit dalam English Speech Contest Ganesha Muda Competition Tingkat Nasional Tahun 2023.  \r\n\r\nLomba yang dilaksanakan secara online tersebut diawali dengan pendaftaran kemudian dilanjutkan pengumpulan karya, dan penampilan 10 besar dan pengumuman juara pada tanggal 25 Oktober 2023. Dengan tema lomba “Transformasi Ilmu Pendidikan Abd 21 Sebagai Landasan Utama dalam Membangun Kualitas Sumber Daya Manusia Indonesia yang Unggul”, perwakilan SMAN 1 Seririt akhirnya berhasil meraih juara favorit. \r\n\r\nDitemui di sekolah, Radin mengatakan sangat senang meskipun belum bisa meraih tiga besar. Dengan asuhan Pembina Ni Wayan Budiari, S.Pd selama ini dirinya latihan dengan serius agar bisa menunjukkan yang terbaik. “Saya sangat termotivasi untuk ikut apalagi ini tingkat nasional, lebih menantang” terang Radin.  Dirinya berharap, pada lain kesempatan dirinya bisa memberikan yang terbaik lagi untuk sekolah. \r\n\r\nKepala SMA Negeri 1 Seririt Ngurah Putu Wiswayana, S.Pd., M.Pd  menyampaikan apresiasi dan rasa terima kasih kepada siswa maupun pembina atas prestasinya yang sudah mengharumkan nama sekolah sampai di tingkat nasional. Ke depan pihaknya berharap semakin banyak siswa yang bisa bersaing di tingkat nasional (hms).",https://www.instagram.com/p/CzGSh-xL6j2/?utm_source=ig_web_copy_link&igshid=MzRlODBiNWFlZA==,????? ????????? ????????  ???? ???? ??????????? ?? ??????? ????????,1841fac1444219a5a2490405a5d32e4d.jpg,2023-10-31
11,"SMA Negeri 1 Seririt kini terus mendulang prestasi dalam bidang olahraga. Salah satu sisa berprestasi yang kembali mengharumkan nama sekolah yaitu I Gusti Bagus Angga Prasetia.  Kali ini dirinya sukses meraih Juara 1 Single dan Ganda Remaja Putra dalam Kejuaraan Bulutangkis Provinsi PBSI Bali Tahun 2023. \r\n\r\nAtas prestasi yang diraih I Gusti Bagus Angga Prasetia mengatakan  sangat bersyukur bisa kembali meraih prestasi. Setelah beberapa kali meraih juara, kini dirinya berkat  asuhan pelatih I Gusti Bagus Suarjana yang merupakan orang tuanya sendiri kembali buktikan diri meraih juara.  Dengan latihan yang keras akhirnya dirinya kembali bisa meraih juara bahkan bisa menjadi yang terbaik.\r\n\r\nKepala SMA Negeri 1 Seririt Ngurah Putu Wiswayana, S.Pd., M.Pd  ketika dimintai tanggapan atas raihan ini menyampaikan apresiasi dan rasa terima kasih kepada siswa maupun pembina atas prestasinya yang sudah mengharumkan nama sekolah. Salah satu bukti siswa Smanser sudah mampu menunjukkan jiwa kompetitipnya (hms)",https://www.instagram.com/p/CzVEcOnLYfP/?utm_source=ig_web_copy_link&igshid=MzRlODBiNWFlZA==,"????? ????????,  ???????? ???? ????????? ???? ????? ???????????",705d34e313629103a86b7d8d663e84e7.jpg,2023-11-06
12,"Made Alyin Juniarti, kini mulai dikenal setelah mampu menyumbangkan prestasi dalam bidang olahraga. Berkat semangat dan kerja kerasnya dirinya berhasil meraih Juara 3 Single Remaja Putra dalam Kejuaraan Bulutangkis Provinsi PBSI Bali Tahun 2023. \r\n\r\nAtas prestasi yang diraih Made Alyn Juniarti mengatakan sangat bangga bisa berprestasi membawa nama sekolah. Dirinya bersama rekannya I Gusti Bagus Angga Prasetia kini mantap menekuni olahraga bulutangkis. Dengan latihan yang keras akhirnya dirinya bisa meraih juara meskipun belum menjadi yang terbaik.\r\n\r\nKepala SMA Negeri 1 Seririt Ngurah Putu Wiswayana, S.Pd., M.Pd  ketika dimintai tanggapan atas raihan ini menyampaikan apresiasi dan rasa terima kasih kepada siswa maupun pembina atas prestasinya yang sudah mengharumkan nama sekolah. Prestasi bidang olahraga kini terus bertambah melengkapi prestasi bidang nonakademik. Hal ini menjadi bukti siswa anak-anak  Smanser bisa bersaing dengan siswa yang lain sesuai dengan visi sekolah (hms)",https://www.instagram.com/p/CzVEnNGLRFW/?utm_source=ig_web_copy_link&igshid=MzRlODBiNWFlZA==,???? ???? ???????? ????? ???????? ?????????? ???????? ?????? ???????????,4bd8b9fc7f6f00934cbcb47e6e191194.jpg,2023-11-06
